TABLE 6J - COMPLETE CC LIST
Diagnosis Code	Description
S32.699A	Other specified fracture of unspecified ischium, initial encounter for closed fracture
S32.699K	Other specified fracture of unspecified ischium, subsequent encounter for fracture with nonunion
S32.810A	Multiple fractures of pelvis with stable disruption of pelvic ring, initial encounter for closed fracture
S32.810K	Multiple fractures of pelvis with stable disruption of pelvic ring, subsequent encounter for fracture with nonunion
S32.811A	Multiple fractures of pelvis with unstable disruption of pelvic ring, initial encounter for closed fracture
S32.811K	Multiple fractures of pelvis with unstable disruption of pelvic ring, subsequent encounter for fracture with nonunion
S32.82XA	Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for closed fracture
S32.82XK	Multiple fractures of pelvis without disruption of pelvic ring, subsequent encounter for fracture with nonunion
S32.89XA	Fracture of other parts of pelvis, initial encounter for closed fracture
S32.89XK	Fracture of other parts of pelvis, subsequent encounter for fracture with nonunion
S32.9XXA	Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for closed fracture
S32.9XXK	Fracture of unspecified parts of lumbosacral spine and pelvis, subsequent encounter for fracture with nonunion
S35.531A	Injury of right uterine artery, initial encounter
S35.532A	Injury of left uterine artery, initial encounter
S35.533A	Injury of unspecified uterine artery, initial encounter
S35.534A	Injury of right uterine vein, initial encounter
S35.535A	Injury of left uterine vein, initial encounter
S35.536A	Injury of unspecified uterine vein, initial encounter
S35.8X1A	Laceration of other blood vessels at abdomen, lower back and pelvis level, initial encounter
S35.8X8A	Other specified injury of other blood vessels at abdomen, lower back and pelvis level, initial encounter
S35.8X9A	Unspecified injury of other blood vessels at abdomen, lower back and pelvis level, initial encounter
S35.90XA	Unspecified injury of unspecified blood vessel at abdomen, lower back and pelvis level, initial encounter
S35.91XA	Laceration of unspecified blood vessel at abdomen, lower back and pelvis level, initial encounter
S35.99XA	Other specified injury of unspecified blood vessel at abdomen, lower back and pelvis level, initial encounter
S36.00XA	Unspecified injury of spleen, initial encounter
S36.020A	Minor contusion of spleen, initial encounter
S36.021A	Major contusion of spleen, initial encounter
S36.029A	Unspecified contusion of spleen, initial encounter
S36.030A	Superficial (capsular) laceration of spleen, initial encounter
S36.039A	Unspecified laceration of spleen, initial encounter
S36.09XA	Other injury of spleen, initial encounter
S36.112A	Contusion of liver, initial encounter
S36.113A	Laceration of liver, unspecified degree, initial encounter
S36.114A	Minor laceration of liver, initial encounter
S36.118A	Other injury of liver, initial encounter
S36.119A	Unspecified injury of liver, initial encounter
S36.122A	Contusion of gallbladder, initial encounter
S36.123A	Laceration of gallbladder, initial encounter
S36.128A	Other injury of gallbladder, initial encounter
S36.129A	Unspecified injury of gallbladder, initial encounter
S36.13XA	Injury of bile duct, initial encounter
S36.200A	Unspecified injury of head of pancreas, initial encounter
S36.201A	Unspecified injury of body of pancreas, initial encounter
S36.202A	Unspecified injury of tail of pancreas, initial encounter
S36.209A	Unspecified injury of unspecified part of pancreas, initial encounter
S36.220A	Contusion of head of pancreas, initial encounter
S36.221A	Contusion of body of pancreas, initial encounter
S36.222A	Contusion of tail of pancreas, initial encounter
S36.229A	Contusion of unspecified part of pancreas, initial encounter
S36.230A	Laceration of head of pancreas, unspecified degree, initial encounter
S36.231A	Laceration of body of pancreas, unspecified degree, initial encounter
S36.232A	Laceration of tail of pancreas, unspecified degree, initial encounter
S36.239A	Laceration of unspecified part of pancreas, unspecified degree, initial encounter
S36.240A	Minor laceration of head of pancreas, initial encounter
S36.241A	Minor laceration of body of pancreas, initial encounter
S36.242A	Minor laceration of tail of pancreas, initial encounter
S36.249A	Minor laceration of unspecified part of pancreas, initial encounter
S36.250A	Moderate laceration of head of pancreas, initial encounter
S36.251A	Moderate laceration of body of pancreas, initial encounter
S36.252A	Moderate laceration of tail of pancreas, initial encounter
S36.259A	Moderate laceration of unspecified part of pancreas, initial encounter
S36.260A	Major laceration of head of pancreas, initial encounter
S36.261A	Major laceration of body of pancreas, initial encounter
S36.262A	Major laceration of tail of pancreas, initial encounter
S36.269A	Major laceration of unspecified part of pancreas, initial encounter
S36.290A	Other injury of head of pancreas, initial encounter
S36.291A	Other injury of body of pancreas, initial encounter
S36.292A	Other injury of tail of pancreas, initial encounter
S36.299A	Other injury of unspecified part of pancreas, initial encounter
S36.30XA	Unspecified injury of stomach, initial encounter
S36.32XA	Contusion of stomach, initial encounter
S36.33XA	Laceration of stomach, initial encounter
S36.39XA	Other injury of stomach, initial encounter
S36.400A	Unspecified injury of duodenum, initial encounter
S36.408A	Unspecified injury of other part of small intestine, initial encounter
S36.409A	Unspecified injury of unspecified part of small intestine, initial encounter
S36.410A	Primary blast injury of duodenum, initial encounter
S36.418A	Primary blast injury of other part of small intestine, initial encounter
S36.419A	Primary blast injury of unspecified part of small intestine, initial encounter
S36.420A	Contusion of duodenum, initial encounter
S36.428A	Contusion of other part of small intestine, initial encounter
S36.429A	Contusion of unspecified part of small intestine, initial encounter
S36.430A	Laceration of duodenum, initial encounter
S36.438A	Laceration of other part of small intestine, initial encounter
S36.439A	Laceration of unspecified part of small intestine, initial encounter
S36.490A	Other injury of duodenum, initial encounter
S36.498A	Other injury of other part of small intestine, initial encounter
S36.499A	Other injury of unspecified part of small intestine, initial encounter
S36.500A	Unspecified injury of ascending [right] colon, initial encounter
S36.501A	Unspecified injury of transverse colon, initial encounter
S36.502A	Unspecified injury of descending [left] colon, initial encounter
S36.503A	Unspecified injury of sigmoid colon, initial encounter
S36.508A	Unspecified injury of other part of colon, initial encounter
S36.509A	Unspecified injury of unspecified part of colon, initial encounter
S36.510A	Primary blast injury of ascending [right] colon, initial encounter
S36.511A	Primary blast injury of transverse colon, initial encounter
S36.512A	Primary blast injury of descending [left] colon, initial encounter
S36.513A	Primary blast injury of sigmoid colon, initial encounter
S36.518A	Primary blast injury of other part of colon, initial encounter
S36.519A	Primary blast injury of unspecified part of colon, initial encounter
S36.520A	Contusion of ascending [right] colon, initial encounter
S36.521A	Contusion of transverse colon, initial encounter
S36.522A	Contusion of descending [left] colon, initial encounter
S36.523A	Contusion of sigmoid colon, initial encounter
S36.528A	Contusion of other part of colon, initial encounter
S36.529A	Contusion of unspecified part of colon, initial encounter
S36.530A	Laceration of ascending [right] colon, initial encounter
S36.531A	Laceration of transverse colon, initial encounter
S36.532A	Laceration of descending [left] colon, initial encounter
S36.533A	Laceration of sigmoid colon, initial encounter
S36.538A	Laceration of other part of colon, initial encounter
S36.539A	Laceration of unspecified part of colon, initial encounter
S36.590A	Other injury of ascending [right] colon, initial encounter
S36.591A	Other injury of transverse colon, initial encounter
S36.592A	Other injury of descending [left] colon, initial encounter
S36.593A	Other injury of sigmoid colon, initial encounter
S36.598A	Other injury of other part of colon, initial encounter
S36.599A	Other injury of unspecified part of colon, initial encounter
S36.60XA	Unspecified injury of rectum, initial encounter
S36.61XA	Primary blast injury of rectum, initial encounter
S36.62XA	Contusion of rectum, initial encounter
S36.63XA	Laceration of rectum, initial encounter
S36.69XA	Other injury of rectum, initial encounter
S36.81XA	Injury of peritoneum, initial encounter
S36.892A	Contusion of other intra-abdominal organs, initial encounter
S36.893A	Laceration of other intra-abdominal organs, initial encounter
S36.898A	Other injury of other intra-abdominal organs, initial encounter
S36.899A	Unspecified injury of other intra-abdominal organs, initial encounter
S36.90XA	Unspecified injury of unspecified intra-abdominal organ, initial encounter
S36.92XA	Contusion of unspecified intra-abdominal organ, initial encounter
S36.93XA	Laceration of unspecified intra-abdominal organ, initial encounter
S36.99XA	Other injury of unspecified intra-abdominal organ, initial encounter
S37.001A	Unspecified injury of right kidney, initial encounter
S37.002A	Unspecified injury of left kidney, initial encounter
S37.009A	Unspecified injury of unspecified kidney, initial encounter
S37.011A	Minor contusion of right kidney, initial encounter
S37.012A	Minor contusion of left kidney, initial encounter
S37.019A	Minor contusion of unspecified kidney, initial encounter
S37.021A	Major contusion of right kidney, initial encounter
S37.022A	Major contusion of left kidney, initial encounter
S37.029A	Major contusion of unspecified kidney, initial encounter
S37.031A	Laceration of right kidney, unspecified degree, initial encounter
S37.032A	Laceration of left kidney, unspecified degree, initial encounter
S37.039A	Laceration of unspecified kidney, unspecified degree, initial encounter
S37.041A	Minor laceration of right kidney, initial encounter
S37.042A	Minor laceration of left kidney, initial encounter
S37.049A	Minor laceration of unspecified kidney, initial encounter
S37.051A	Moderate laceration of right kidney, initial encounter
S37.052A	Moderate laceration of left kidney, initial encounter
S37.059A	Moderate laceration of unspecified kidney, initial encounter
S37.10XA	Unspecified injury of ureter, initial encounter
S37.12XA	Contusion of ureter, initial encounter
S37.13XA	Laceration of ureter, initial encounter
S37.19XA	Other injury of ureter, initial encounter
S37.20XA	Unspecified injury of bladder, initial encounter
S37.22XA	Contusion of bladder, initial encounter
S37.23XA	Laceration of bladder, initial encounter
S37.29XA	Other injury of bladder, initial encounter
S37.30XA	Unspecified injury of urethra, initial encounter
S37.32XA	Contusion of urethra, initial encounter
S37.33XA	Laceration of urethra, initial encounter
S37.39XA	Other injury of urethra, initial encounter
S37.60XA	Unspecified injury of uterus, initial encounter
S37.62XA	Contusion of uterus, initial encounter
S37.63XA	Laceration of uterus, initial encounter
S37.69XA	Other injury of uterus, initial encounter
S37.812A	Contusion of adrenal gland, initial encounter
S37.813A	Laceration of adrenal gland, initial encounter
S37.818A	Other injury of adrenal gland, initial encounter
S37.819A	Unspecified injury of adrenal gland, initial encounter
S37.892A	Contusion of other urinary and pelvic organ, initial encounter
S37.893A	Laceration of other urinary and pelvic organ, initial encounter
S37.898A	Other injury of other urinary and pelvic organ, initial encounter
S37.899A	Unspecified injury of other urinary and pelvic organ, initial encounter
S37.90XA	Unspecified injury of unspecified urinary and pelvic organ, initial encounter
S37.92XA	Contusion of unspecified urinary and pelvic organ, initial encounter
S37.93XA	Laceration of unspecified urinary and pelvic organ, initial encounter
S37.99XA	Other injury of unspecified urinary and pelvic organ, initial encounter
S42.001B	Fracture of unspecified part of right clavicle, initial encounter for open fracture
S42.001K	Fracture of unspecified part of right clavicle, subsequent encounter for fracture with nonunion
S42.001P	Fracture of unspecified part of right clavicle, subsequent encounter for fracture with malunion
S42.002B	Fracture of unspecified part of left clavicle, initial encounter for open fracture
S42.002K	Fracture of unspecified part of left clavicle, subsequent encounter for fracture with nonunion
S42.002P	Fracture of unspecified part of left clavicle, subsequent encounter for fracture with malunion
S42.009B	Fracture of unspecified part of unspecified clavicle, initial encounter for open fracture
S42.009K	Fracture of unspecified part of unspecified clavicle, subsequent encounter for fracture with nonunion
S42.009P	Fracture of unspecified part of unspecified clavicle, subsequent encounter for fracture with malunion
S42.011B	Anterior displaced fracture of sternal end of right clavicle, initial encounter for open fracture
S42.011K	Anterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with nonunion
S42.011P	Anterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with malunion
S42.012B	Anterior displaced fracture of sternal end of left clavicle, initial encounter for open fracture
S42.012K	Anterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with nonunion
S42.012P	Anterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with malunion
S42.013B	Anterior displaced fracture of sternal end of unspecified clavicle, initial encounter for open fracture
S42.013K	Anterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with nonunion
S42.013P	Anterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with malunion
S42.014B	Posterior displaced fracture of sternal end of right clavicle, initial encounter for open fracture
S42.014K	Posterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with nonunion
S42.014P	Posterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with malunion
S42.015B	Posterior displaced fracture of sternal end of left clavicle, initial encounter for open fracture
S42.015K	Posterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with nonunion
S42.015P	Posterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with malunion
S42.016B	Posterior displaced fracture of sternal end of unspecified clavicle, initial encounter for open fracture
S42.016K	Posterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with nonunion
S42.016P	Posterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with malunion
S42.017B	Nondisplaced fracture of sternal end of right clavicle, initial encounter for open fracture
S42.017K	Nondisplaced fracture of sternal end of right clavicle, subsequent encounter for fracture with nonunion
S42.017P	Nondisplaced fracture of sternal end of right clavicle, subsequent encounter for fracture with malunion
S42.018B	Nondisplaced fracture of sternal end of left clavicle, initial encounter for open fracture
S42.018K	Nondisplaced fracture of sternal end of left clavicle, subsequent encounter for fracture with nonunion
S42.018P	Nondisplaced fracture of sternal end of left clavicle, subsequent encounter for fracture with malunion
S42.019B	Nondisplaced fracture of sternal end of unspecified clavicle, initial encounter for open fracture
S42.019K	Nondisplaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with nonunion
S42.019P	Nondisplaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with malunion
S42.021B	Displaced fracture of shaft of right clavicle, initial encounter for open fracture
S42.021K	Displaced fracture of shaft of right clavicle, subsequent encounter for fracture with nonunion
S42.021P	Displaced fracture of shaft of right clavicle, subsequent encounter for fracture with malunion
S42.022B	Displaced fracture of shaft of left clavicle, initial encounter for open fracture
S42.022K	Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with nonunion
S42.022P	Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with malunion
S42.023B	Displaced fracture of shaft of unspecified clavicle, initial encounter for open fracture
S42.023K	Displaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with nonunion
S42.023P	Displaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with malunion
S42.024B	Nondisplaced fracture of shaft of right clavicle, initial encounter for open fracture
S42.024K	Nondisplaced fracture of shaft of right clavicle, subsequent encounter for fracture with nonunion
S42.024P	Nondisplaced fracture of shaft of right clavicle, subsequent encounter for fracture with malunion
S42.025B	Nondisplaced fracture of shaft of left clavicle, initial encounter for open fracture
S42.025K	Nondisplaced fracture of shaft of left clavicle, subsequent encounter for fracture with nonunion
S42.025P	Nondisplaced fracture of shaft of left clavicle, subsequent encounter for fracture with malunion
S42.026B	Nondisplaced fracture of shaft of unspecified clavicle, initial encounter for open fracture
S42.026K	Nondisplaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with nonunion
S42.026P	Nondisplaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with malunion
S42.031B	Displaced fracture of lateral end of right clavicle, initial encounter for open fracture
S42.031K	Displaced fracture of lateral end of right clavicle, subsequent encounter for fracture with nonunion
S42.031P	Displaced fracture of lateral end of right clavicle, subsequent encounter for fracture with malunion
S42.032B	Displaced fracture of lateral end of left clavicle, initial encounter for open fracture
S42.032K	Displaced fracture of lateral end of left clavicle, subsequent encounter for fracture with nonunion
S42.032P	Displaced fracture of lateral end of left clavicle, subsequent encounter for fracture with malunion
S42.033B	Displaced fracture of lateral end of unspecified clavicle, initial encounter for open fracture
S42.033K	Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with nonunion
S42.033P	Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with malunion
S42.034B	Nondisplaced fracture of lateral end of right clavicle, initial encounter for open fracture
S42.034K	Nondisplaced fracture of lateral end of right clavicle, subsequent encounter for fracture with nonunion
S42.034P	Nondisplaced fracture of lateral end of right clavicle, subsequent encounter for fracture with malunion
S42.035B	Nondisplaced fracture of lateral end of left clavicle, initial encounter for open fracture
S42.035K	Nondisplaced fracture of lateral end of left clavicle, subsequent encounter for fracture with nonunion
S42.035P	Nondisplaced fracture of lateral end of left clavicle, subsequent encounter for fracture with malunion
S42.036B	Nondisplaced fracture of lateral end of unspecified clavicle, initial encounter for open fracture
S42.036K	Nondisplaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with nonunion
S42.036P	Nondisplaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with malunion
S42.101B	Fracture of unspecified part of scapula, right shoulder, initial encounter for open fracture
S42.101K	Fracture of unspecified part of scapula, right shoulder, subsequent encounter for fracture with nonunion
S42.101P	Fracture of unspecified part of scapula, right shoulder, subsequent encounter for fracture with malunion
S42.102B	Fracture of unspecified part of scapula, left shoulder, initial encounter for open fracture
S42.102K	Fracture of unspecified part of scapula, left shoulder, subsequent encounter for fracture with nonunion
S42.102P	Fracture of unspecified part of scapula, left shoulder, subsequent encounter for fracture with malunion
S42.109B	Fracture of unspecified part of scapula, unspecified shoulder, initial encounter for open fracture
S42.109K	Fracture of unspecified part of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.109P	Fracture of unspecified part of scapula, unspecified shoulder, subsequent encounter for fracture with malunion
S42.111B	Displaced fracture of body of scapula, right shoulder, initial encounter for open fracture
S42.111K	Displaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with nonunion
S42.111P	Displaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with malunion
S42.112B	Displaced fracture of body of scapula, left shoulder, initial encounter for open fracture
S42.112K	Displaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with nonunion
S42.112P	Displaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with malunion
S42.113B	Displaced fracture of body of scapula, unspecified shoulder, initial encounter for open fracture
S42.113K	Displaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.113P	Displaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with malunion
S42.114B	Nondisplaced fracture of body of scapula, right shoulder, initial encounter for open fracture
S42.114K	Nondisplaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with nonunion
S42.114P	Nondisplaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with malunion
S42.115B	Nondisplaced fracture of body of scapula, left shoulder, initial encounter for open fracture
S42.115K	Nondisplaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with nonunion
S42.115P	Nondisplaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with malunion
S42.116B	Nondisplaced fracture of body of scapula, unspecified shoulder, initial encounter for open fracture
S42.116K	Nondisplaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.116P	Nondisplaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with malunion
S42.121B	Displaced fracture of acromial process, right shoulder, initial encounter for open fracture
S42.121K	Displaced fracture of acromial process, right shoulder, subsequent encounter for fracture with nonunion
S42.121P	Displaced fracture of acromial process, right shoulder, subsequent encounter for fracture with malunion
S42.122B	Displaced fracture of acromial process, left shoulder, initial encounter for open fracture
S42.122K	Displaced fracture of acromial process, left shoulder, subsequent encounter for fracture with nonunion
S42.122P	Displaced fracture of acromial process, left shoulder, subsequent encounter for fracture with malunion
S42.123B	Displaced fracture of acromial process, unspecified shoulder, initial encounter for open fracture
S42.123K	Displaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.123P	Displaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with malunion
S42.124B	Nondisplaced fracture of acromial process, right shoulder, initial encounter for open fracture
S42.124K	Nondisplaced fracture of acromial process, right shoulder, subsequent encounter for fracture with nonunion
S42.124P	Nondisplaced fracture of acromial process, right shoulder, subsequent encounter for fracture with malunion
S42.125B	Nondisplaced fracture of acromial process, left shoulder, initial encounter for open fracture
S42.125K	Nondisplaced fracture of acromial process, left shoulder, subsequent encounter for fracture with nonunion
S42.125P	Nondisplaced fracture of acromial process, left shoulder, subsequent encounter for fracture with malunion
S42.126B	Nondisplaced fracture of acromial process, unspecified shoulder, initial encounter for open fracture
S42.126K	Nondisplaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.126P	Nondisplaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with malunion
S42.131B	Displaced fracture of coracoid process, right shoulder, initial encounter for open fracture
S42.131K	Displaced fracture of coracoid process, right shoulder, subsequent encounter for fracture with nonunion
S42.131P	Displaced fracture of coracoid process, right shoulder, subsequent encounter for fracture with malunion
S42.132B	Displaced fracture of coracoid process, left shoulder, initial encounter for open fracture
S42.132K	Displaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with nonunion
S42.132P	Displaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with malunion
S42.133B	Displaced fracture of coracoid process, unspecified shoulder, initial encounter for open fracture
S42.133K	Displaced fracture of coracoid process, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.133P	Displaced fracture of coracoid process, unspecified shoulder, subsequent encounter for fracture with malunion
S42.134B	Nondisplaced fracture of coracoid process, right shoulder, initial encounter for open fracture
S42.134K	Nondisplaced fracture of coracoid process, right shoulder, subsequent encounter for fracture with nonunion
S42.134P	Nondisplaced fracture of coracoid process, right shoulder, subsequent encounter for fracture with malunion
S42.135B	Nondisplaced fracture of coracoid process, left shoulder, initial encounter for open fracture
S42.135K	Nondisplaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with nonunion
S42.135P	Nondisplaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with malunion
S42.136B	Nondisplaced fracture of coracoid process, unspecified shoulder, initial encounter for open fracture
S42.136K	Nondisplaced fracture of coracoid process, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.136P	Nondisplaced fracture of coracoid process, unspecified shoulder, subsequent encounter for fracture with malunion
S42.141B	Displaced fracture of glenoid cavity of scapula, right shoulder, initial encounter for open fracture
S42.141K	Displaced fracture of glenoid cavity of scapula, right shoulder, subsequent encounter for fracture with nonunion
S42.141P	Displaced fracture of glenoid cavity of scapula, right shoulder, subsequent encounter for fracture with malunion
S42.142B	Displaced fracture of glenoid cavity of scapula, left shoulder, initial encounter for open fracture
S42.142K	Displaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with nonunion
S42.142P	Displaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with malunion
S42.143B	Displaced fracture of glenoid cavity of scapula, unspecified shoulder, initial encounter for open fracture
S42.143K	Displaced fracture of glenoid cavity of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.143P	Displaced fracture of glenoid cavity of scapula, unspecified shoulder, subsequent encounter for fracture with malunion
S42.144B	Nondisplaced fracture of glenoid cavity of scapula, right shoulder, initial encounter for open fracture
S42.144K	Nondisplaced fracture of glenoid cavity of scapula, right shoulder, subsequent encounter for fracture with nonunion
S42.144P	Nondisplaced fracture of glenoid cavity of scapula, right shoulder, subsequent encounter for fracture with malunion
S42.145B	Nondisplaced fracture of glenoid cavity of scapula, left shoulder, initial encounter for open fracture
S42.145K	Nondisplaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with nonunion
S42.145P	Nondisplaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with malunion
S42.146B	Nondisplaced fracture of glenoid cavity of scapula, unspecified shoulder, initial encounter for open fracture
S42.146K	Nondisplaced fracture of glenoid cavity of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.146P	Nondisplaced fracture of glenoid cavity of scapula, unspecified shoulder, subsequent encounter for fracture with malunion
S42.151B	Displaced fracture of neck of scapula, right shoulder, initial encounter for open fracture
S42.151K	Displaced fracture of neck of scapula, right shoulder, subsequent encounter for fracture with nonunion
S42.151P	Displaced fracture of neck of scapula, right shoulder, subsequent encounter for fracture with malunion
S42.152B	Displaced fracture of neck of scapula, left shoulder, initial encounter for open fracture
S42.152K	Displaced fracture of neck of scapula, left shoulder, subsequent encounter for fracture with nonunion
S42.152P	Displaced fracture of neck of scapula, left shoulder, subsequent encounter for fracture with malunion
S42.153B	Displaced fracture of neck of scapula, unspecified shoulder, initial encounter for open fracture
S42.153K	Displaced fracture of neck of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.153P	Displaced fracture of neck of scapula, unspecified shoulder, subsequent encounter for fracture with malunion
S42.154B	Nondisplaced fracture of neck of scapula, right shoulder, initial encounter for open fracture
S42.154K	Nondisplaced fracture of neck of scapula, right shoulder, subsequent encounter for fracture with nonunion
S42.154P	Nondisplaced fracture of neck of scapula, right shoulder, subsequent encounter for fracture with malunion
S42.155B	Nondisplaced fracture of neck of scapula, left shoulder, initial encounter for open fracture
S42.155K	Nondisplaced fracture of neck of scapula, left shoulder, subsequent encounter for fracture with nonunion
S42.155P	Nondisplaced fracture of neck of scapula, left shoulder, subsequent encounter for fracture with malunion
S42.156B	Nondisplaced fracture of neck of scapula, unspecified shoulder, initial encounter for open fracture
S42.156K	Nondisplaced fracture of neck of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.156P	Nondisplaced fracture of neck of scapula, unspecified shoulder, subsequent encounter for fracture with malunion
S42.191B	Fracture of other part of scapula, right shoulder, initial encounter for open fracture
S42.191K	Fracture of other part of scapula, right shoulder, subsequent encounter for fracture with nonunion
S42.191P	Fracture of other part of scapula, right shoulder, subsequent encounter for fracture with malunion
S42.192B	Fracture of other part of scapula, left shoulder, initial encounter for open fracture
S42.192K	Fracture of other part of scapula, left shoulder, subsequent encounter for fracture with nonunion
S42.192P	Fracture of other part of scapula, left shoulder, subsequent encounter for fracture with malunion
S42.199B	Fracture of other part of scapula, unspecified shoulder, initial encounter for open fracture
S42.199K	Fracture of other part of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion
S42.199P	Fracture of other part of scapula, unspecified shoulder, subsequent encounter for fracture with malunion
S42.201A	Unspecified fracture of upper end of right humerus, initial encounter for closed fracture
S42.201K	Unspecified fracture of upper end of right humerus, subsequent encounter for fracture with nonunion
S42.201P	Unspecified fracture of upper end of right humerus, subsequent encounter for fracture with malunion
S42.202A	Unspecified fracture of upper end of left humerus, initial encounter for closed fracture
S42.202K	Unspecified fracture of upper end of left humerus, subsequent encounter for fracture with nonunion
S42.202P	Unspecified fracture of upper end of left humerus, subsequent encounter for fracture with malunion
S42.209A	Unspecified fracture of upper end of unspecified humerus, initial encounter for closed fracture
S42.209K	Unspecified fracture of upper end of unspecified humerus, subsequent encounter for fracture with nonunion
S42.209P	Unspecified fracture of upper end of unspecified humerus, subsequent encounter for fracture with malunion
S42.211A	Unspecified displaced fracture of surgical neck of right humerus, initial encounter for closed fracture
S42.211K	Unspecified displaced fracture of surgical neck of right humerus, subsequent encounter for fracture with nonunion
S42.211P	Unspecified displaced fracture of surgical neck of right humerus, subsequent encounter for fracture with malunion
S42.212A	Unspecified displaced fracture of surgical neck of left humerus, initial encounter for closed fracture
S42.212K	Unspecified displaced fracture of surgical neck of left humerus, subsequent encounter for fracture with nonunion
S42.212P	Unspecified displaced fracture of surgical neck of left humerus, subsequent encounter for fracture with malunion
S42.213A	Unspecified displaced fracture of surgical neck of unspecified humerus, initial encounter for closed fracture
S42.213K	Unspecified displaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with nonunion
S42.213P	Unspecified displaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with malunion
S42.214A	Unspecified nondisplaced fracture of surgical neck of right humerus, initial encounter for closed fracture
S42.214K	Unspecified nondisplaced fracture of surgical neck of right humerus, subsequent encounter for fracture with nonunion
S42.214P	Unspecified nondisplaced fracture of surgical neck of right humerus, subsequent encounter for fracture with malunion
S42.215A	Unspecified nondisplaced fracture of surgical neck of left humerus, initial encounter for closed fracture
S42.215K	Unspecified nondisplaced fracture of surgical neck of left humerus, subsequent encounter for fracture with nonunion
S42.215P	Unspecified nondisplaced fracture of surgical neck of left humerus, subsequent encounter for fracture with malunion
S42.216A	Unspecified nondisplaced fracture of surgical neck of unspecified humerus, initial encounter for closed fracture
S42.216K	Unspecified nondisplaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with nonunion
S42.216P	Unspecified nondisplaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with malunion
S42.221A	2-part displaced fracture of surgical neck of right humerus, initial encounter for closed fracture
S42.221K	2-part displaced fracture of surgical neck of right humerus, subsequent encounter for fracture with nonunion
